"","X","id","institution_code","star","flag","scientificName","collectors","collectors_parsed","collector_number_prefix","collector_number","collector_number_suffix","early_julian_day","late_julian_day","verbatim_date","county","elevation","locality","locality_parsed","geocoded","longitude","latitude","datum","georeference_source","township_range_section","error_radius","error_radius_units","current_name","current_name_binomial","current_genus","current_species","clade","dataset","cloned_geocode","jepson_flag","flagged_record_corrected","maxent_index","naturalised","cultivated","possible_mislabel","exclude_species","jepson_flag_october","new_flag","exclude_clade","x_epsg_3310","y_epsg_3310","Tave_wt","Tave_sp","Tave_sm","Tave_at","Tmin_wt","Tmax_sm","PPT_wt","PPT_sp","PPT_sm","PPT_at","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD5","DD_0","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","MAR","RH","year","aet","cwd","cwd_gs","pet","ppt","soil_mean","soil_min","srad","swe_max","tmax","tmin","vpd_max","vpd_spr","vpd_gs"
"220",4069,"RSA605068","","","","Quercus douglasii","E. R. Blakley","E. R. Blakley","","5468","","10/9/1962","10/9/1962","Oct 9 1962","Los Angeles","91 m","   Santa Catalina Island. Pebble [Pebbly] Beach Canyon","Pebble [Pebbly] Beach Canyon, Santa Catalina Island","yes",-118.314,33.33,"NAD83","(copied from SBBG13431)","",1,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,NA,NA,NA,NA,NA,"no",NA,NA,157073.565903796,-519059.235249247,12.9,14.6,19.6,17.8,8,24,160,69,3,50,16.2,20.9,12.6,8.3,282,16,92.9,1309.9,4105,9,365,0,365,365,0,-0.8,38.8,1059,784,15.5,71,1962,288.2,910.2,109.516666666667,1198.3,317,27.7666666666667,12.8,201.966666666667,0,23.6,9.30000000000001,0.81,0.51,0.636666666666667
"222",4125,"UC5570","","","","Quercus douglasii","Geo. Hansen","Geo. Hansen","","920","","1893-6-1","1893-6-30","Jun 1893","Amador","2000 ft","   Agrc. Station Sequoia Region","Agrc. Station Sequoia Region","yes",-120.77324,38.348793,"NAD27","Terrain Navigator 5.03 USGS 1:24000","",7.008,"miles","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.055218379,NA,NA,NA,NA,"no",NA,NA,-67494.6197583528,37229.5934364013,7.7,13.4,23.5,16.6,2.5,33.1,335,198,13,169,15.3,24.8,6.6,18.2,715,45,35.4,552.5,3827,34,328,71,333,262,5,-13.9,43.3,1296,912,17.4,57,1893,659.7,746.4,112.616666666667,1406.1,856.1,191.25,60.8,200.475,0,34.7,1.8,2.41,1.025,1.76166666666667
"223",4126,"SBBG59004","","","","Quercus douglasii","R. Hoffmann","R. Hoffmann","","","","6/13/1927","6/13/1927","Jun 13 1927","Los Angeles","","   Chandler's","Chandler's","yes",-118.883,34.809,"NAD83","Terrain Nav. v. 8.7","",1000,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.160032018,NA,NA,NA,NA,"no",NA,NA,102133.760054221,-355791.469597651,5.4,10.6,20.9,14,-0.5,30.7,174,98,6,63,12.7,22.5,5.1,17.4,341,26,66.7,852.1,2975,64,276,118,304,186,7,-19.3,42.4,1304,1011,20.1,53,1927,306.4,1096,149.583333333333,1402.5,357.3,25.25,8.5,214.175,0,28.9,1.10000000000001,1.98,0.785,1.39833333333333
"224",4168,"UCSB59618","","","","Quercus douglasii","Cornelius Muller","Cornelius Muller","","5256","","3/20/1945","3/20/1945","3/20/1945","Los Angeles","","   11 mi. S of Caswell, 11 mi. N of Castaic","11 miles South of Caswell, 11 miles North of Castaic","yes",-118.72,34.5939,"WGS84","Google Earth","",1.5,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.141247858,NA,NA,NA,NA,"no",NA,NA,117359.286134098,-379477.270416912,8.9,13.3,23.2,17.5,3.9,30.8,243,116,8,77,15.7,24.9,8.4,16.5,444,30,57.9,825.5,3949,25,342,50,344,294,2,-10,44.5,1273,938,18.3,61,1945,334.8,1171.5,157.866666666667,1506.3,397,24.8416666666667,9.1,214.308333333333,0,31.5,3.40000000000001,2.2,0.96,1.605
"225",4178,"RSA605182","","","","Quercus douglasii","L. C. Wheeler","L. C. Wheeler","","8050","","5/19/1962","5/19/1962","May 19 1962","Los Angeles","","   Catalina Island, Valley of Ollas.","Catalina Island, Valley of Ollas.","yes",-118.4322,33.4191,"WGS84","Google Earth","",800,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,NA,NA,NA,NA,NA,"no",NA,NA,145899.38451343,-509373.72600617,13.2,14.9,19.9,18.1,8.9,24.4,156,73,4,55,16.5,21.4,12.8,8.5,287,18,92.3,1203.5,4216,8,365,0,365,365,0,1.2,39.3,1041,769,16.3,73,1962,268.4,947.9,114.383333333333,1216.4,293.4,25.4833333333333,12.3,202.491666666667,0,24,9.40000000000001,0.8,0.575,0.673333333333333
"226",4231,"RSA774002","","","","Quercus douglasii","George K. Helmkamp, E. A. Helmkamp","George K. Helmkamp, E. A. Helmkamp","","15680","","10/11/2009","10/11/2009","Oct 11 2009","Amador","192 m","   Willow Creek Road just south of its junction with CA-16, 3.3 mi. SW (235&deg;) of Plymouth","Willow Creek Road just south of its junction with CA-16, 3.3 miles Southwest of (235â€šÂ°) of Plymouth","yes",-120.8983333,38.44916667,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.064474736,NA,NA,NA,NA,"no",NA,NA,-78307.7464470528,48483.1064819116,7.9,14.1,23.5,16.8,2.8,33.5,296,174,8,151,15.6,24.9,6.8,18.1,629,36,40.7,690.9,3917,31,332,63,334,271,4,-13.1,43.5,1323,959,17,56,2009,601.8,816,122.483333333333,1417.7,700.2,176.875,60.3,199.408333333333,0,35.2,2.90000000000001,2.45,1.095,1.80333333333333
"228",4258,"UC1135461","","","","Quercus douglasii","R. D. Roseberry","R. D. Roseberry","","40","","4/16/1935","4/16/1935","Apr 16 1935","Amador","500 ft","   Churchbell Hill Jackson Quad.","Churchbell Hill Jackson Quadrangle","yes",-120.9197,38.3737,"NAD27","trs2LL","06N10E18",0.5,"miles","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.080028578,NA,NA,NA,NA,"no",NA,NA,-80251.6020317156,40112.3361816769,8.1,14.5,23.8,17,3.2,33.6,269,162,10,141,15.8,25.1,7,18.1,582,35,44.4,718.1,4006,30,337,56,338,282,4,-12.4,43.5,1324,971,17,57,1935,544.3,864.2,129.283333333333,1408.5,612.2,153.358333333333,53.3,199.316666666667,0,34.9,3.2,2.37,1.115,1.765
"229",4270,"SACT002122","","","","Quercus douglasii","Herbert Copeland","Herbert Copeland","","","","3/24/1935","3/24/1935","3/24/1935","Amador","","   ","","yes",-120.65,38.45,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.094430348,NA,NA,NA,NA,"no",NA,NA,-56660.2925230013,48398.9755299962,6.7,12,22.8,16,1.3,32,438,264,20,218,14.4,24.2,5.9,18.3,941,67,25.9,359.7,3513,45,310,94,324,230,11,-15.7,44.3,1252,825,17.7,56,1935,705.1,639.4,97.2833333333333,1344.6,1072.7,211.2,65.8,200.975,0,32.6,0.700000000000003,2.18,0.91,1.57333333333333
"231",4297,"CAS1008357","","","","Quercus douglasii","E. R. Blakley","E. R. Blakley","","5475","","10/6/1962","10/6/1962","6-Oct-62","Los Angeles","800 ft","   Santa Catalina Island. 0.25 mi below lower reservoir in Bullrush Canyon","Santa Catalina Island. 0.25 miles below lower reservoir in Bullrush Canyon","yes",-118.4419298,33.3454432,"WGS 84","New Biogeomancer ","",263,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.804377373,NA,NA,NA,NA,"no",NA,NA,145128.174619273,-517551.732960175,13.1,14.6,19.6,18,8.9,24,156,72,4,54,16.3,21.1,12.8,8.3,286,17,92.1,1210.1,4147,8,365,0,365,365,0,1.1,39,1030,757,15.6,73,1962,286,917.4,112.016666666667,1203.5,316.3,28.9,13.2,203.241666666667,0,23.8,9.40000000000001,0.83,0.53,0.67
"232",4298,"CAS1008351","","","","Quercus douglasii","E. R. Blakley","E. R. Blakley","","5465","","10/5/1962","10/5/1962","5-Oct-62","Los Angeles","750 ft","   Santa Catalina Island. Middle Ranch Canyon between mouth of Cape Canyon and its head","Middle Ranch Canyon between mouth of Cape Canyon and its head, Santa Catalina Island","yes",-118.4186267,33.3498168,"WGS 84","New Biogeomancer (copied from RSA619489) ","",1.359,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.775885847,NA,NA,NA,NA,"no",NA,NA,147290.482743721,-517031.110255893,13,14.3,19.9,18,9.1,24.6,158,75,4,56,16.3,21.4,12.7,8.7,294,19,89.5,1156.4,4141,9,365,0,365,365,0,1.8,39.7,1043,769,15.6,73,1962,286,917.4,112.016666666667,1203.5,316.3,28.9,13.2,203.241666666667,0,23.8,9.40000000000001,0.83,0.53,0.67
"233",4299,"CAS1008352","","","","Quercus douglasii","E. R. Blakley","E. R. Blakley","","5464","","10/5/1962","10/5/1962","5-Oct-62","Los Angeles","650 ft","   Santa Catalina Island. Middle Ranch Corral in Middle Ranch Canyon","Santa Catalina Island. Middle Ranch Corral in Middle Ranch Canyon","yes",-118.4335327,33.35406876,"NAD27","Terrain Navigator Pro USGS 1:24000 (copied from JEPS93445) ","",3.901,"mi","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.804377373,NA,NA,NA,NA,"no",NA,NA,145894.465680244,-516582.950084458,13.1,14.5,19.8,18.1,9.1,24.4,157,74,4,56,16.4,21.3,12.7,8.6,291,18,90.7,1170.6,4167,8,365,0,365,365,0,1.6,39.5,1042,770,15.7,73,1962,286,917.4,112.016666666667,1203.5,316.3,28.9,13.2,203.241666666667,0,23.8,9.40000000000001,0.83,0.53,0.67
"234",4300,"CAS1008353","","","","Quercus douglasii","E. R. Blakley","E. R. Blakley","","5472","","10/6/1962","10/6/1962","6-Oct-62","Los Angeles","1175 ft","   Santa Catalina Island. Head of Bullrush Canyon","Santa Catalina Island, head of Bullrush Canyon","yes",-118.408885,33.3316397,"WGS 84","New Biogeomancer ","",477,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.718646178,NA,NA,NA,NA,"no",NA,NA,148231.557444471,-519030.304253683,13,14.3,19.5,17.8,8.7,24,158,72,4,54,16.1,20.9,12.6,8.3,289,17,90.4,1202,4081,9,365,0,365,365,0,0.8,39,1033,760,15.4,73,1962,264.6,938.1,113.1,1202.7,287.5,25.125,12.2,201.616666666667,0,24,9.7,0.8,0.55,0.655
"235",4302,"UC186578","","","","Quercus douglasii","Geo. Hansen","Geo. Hansen","","1521","","1896-3-26","1896-9-3","Mar 26 1896-Sep 3 1896","Amador","300 ft","   Ione Sequoia Gigantea Region","Ione, Sequoia gigantea region.","yes",-120.933365,38.356247,"NAD27","Terrain Navigator 5.03 USGS 1:24000","",0.508,"miles","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.054031404,NA,NA,NA,NA,"no",NA,NA,-81463.0502973019,38183.9587783352,8.2,14.6,23.8,17.1,3.3,33.7,261,157,10,137,15.9,25.1,7,18.1,565,34,45.8,738.5,4027,29,338,54,338,284,3,-12.2,43.5,1325,975,16.9,57,1896,544.3,864.2,129.283333333333,1408.5,612.2,153.358333333333,53.3,199.316666666667,0,34.9,3.2,2.37,1.115,1.765
"237",4308,"UC1135457","","","","Quercus douglasii","R. St. John","R. St. John","","101","","2/19/1930","2/19/1930","Feb 19 1930","Los Angeles","4250 ft","   Liebre Gulch Tejon Quad.","Liebre Gulch Tejon Quadrangle","yes",-118.715106,34.741271,"NAD27","Geolocate","06N18W32",425,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.116175922,NA,NA,NA,NA,"no",NA,NA,117586.291166548,-363114.836427257,6.7,11.6,22.4,15.4,1.7,30.3,190,96,8,59,14,24.1,6.3,17.8,353,31,68.1,774.2,3386,44,316,84,325,241,4,-14.7,42.2,1228,941,17.8,60,1930,291,1173.3,156.966666666667,1464.3,330.7,20.4833333333333,7.7,215.358333333333,0,29.9,2.40000000000001,2.11,0.86,1.49833333333333
"238",4414,"LA99093","","","","Quercus douglasii","Mary V. Hood","Mary V. Hood","-45","123","k*","6/25/1945","6/25/1945","June 25 1945","Los Angeles","4000.0 ft","   oak flat, Castiac Lake, Ridge Route","oak flat, Castiac Lake, Ridge Route","yes",-118.7218,34.599,"WGS84","GoogleEarth / USGS topo","",300,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.147309089,NA,NA,NA,NA,"no",NA,NA,117186.628421068,-378913.496983155,8.8,13.3,23.1,17.4,3.7,30.9,238,114,8,75,15.6,24.8,8.4,16.5,435,30,59,831.5,3928,25,340,52,343,291,2,-10.3,44.5,1281,950,18.2,61,1945,334.8,1171.5,157.866666666667,1506.3,397,24.8416666666667,9.1,214.308333333333,0,31.5,3.40000000000001,2.2,0.96,1.605
"239",4435,"CAS975047","","","","Quercus douglasii","Timothy S. Ross, Steve Boyd","Timothy S. Ross, Steve Boyd","","8323","","9/21/1994","9/21/1994","21 Sept. 1994","Los Angeles","4200-4240 ft","   Sandberg: low, rounded knoll ca 150-260 m SW of town. Liebre Mountain. 7.5' USGS Quadrangle","Sandberg: low, rounded knoll ca 150-260 meters Southwest town. Liebre Mountain. 7.5' USGS Quadrangle","yes",-118.7112,34.7395,"WGS84","Google Earth","",150,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.109297346,NA,NA,NA,NA,"no",NA,NA,117946.396702351,-363306.556909441,6.8,11.6,22.4,15.4,1.8,30.3,191,97,8,59,14.1,24.1,6.3,17.8,355,31,67.8,768.7,3391,44,316,83,325,242,4,-14.6,42.2,1227,939,17.7,61,1994,291,1173.3,156.966666666667,1464.3,330.7,20.4833333333333,7.7,215.358333333333,0,29.9,2.40000000000001,2.11,0.86,1.49833333333333
"241",4545,"UCR180568","","","","Quercus douglasii","Scott D. White, Andrea Warniment","Scott D. White, Andrea Warniment","","11624","","7/7/2006","7/7/2006","Jul 7 2006","Los Angeles","1006 - 1037 m","  SE Tehachapi Mtns Gorman area, west of the I-5 Freeway at SR-138 interchange","Gorman area, west of the I-5 Freeway at SR-138 interchange. Southeast of Tehachapi Mountains","yes",-118.8,34.76667,"","Collector GeoRef","08N18W21",1000,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.167416774,NA,NA,NA,NA,"no",NA,NA,109782.012867711,-360397.415048792,6.7,11.8,22.3,15.2,1,31,172,91,7,56,14,24,6.2,17.7,325,28,73.8,870.5,3373,45,305,93,318,226,4,-16.4,42.4,1286,1001,18.7,57,2006,301.7,1186.8,160.333333333333,1488.7,345.4,22.1083333333333,8.2,214.25,0,30.9,2.10000000000001,2.23,0.925,1.60166666666667
"242",4553,"CAS974472","","","","Quercus douglasii","Timothy S. Ross, Steve Boyd","Timothy S. Ross, Steve Boyd","","8315","","9/21/1994","9/21/1994","21 Sept. 1994","Los Angeles","4160-4190 ft","   Sandberg: 150-170 m SSE of town along the ""Old Ridge Route"". Liebre Mountain. 7.5' USGS Quadrangle","Sandberg: 150-170 meters Southsoutheast town along the ""Old Ridge Route"" Liebre Mountain 7.5' USGS Quadrangle","yes",-118.7088,34.7398,"WGS84","Google Earth","",100,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.114965565,NA,NA,NA,NA,"no",NA,NA,118165.569086775,-363270.269927414,6.7,11.6,22.5,15.4,1.8,30.3,191,98,8,60,14.1,24.2,6.3,17.9,356,32,67.5,763.8,3394,44,316,83,325,242,4,-14.6,42.2,1227,939,17.6,61,1994,291,1173.3,156.966666666667,1464.3,330.7,20.4833333333333,7.7,215.358333333333,0,29.9,2.40000000000001,2.11,0.86,1.49833333333333
"243",4583,"RSA715751","","","","Quercus douglasii","Scott D. White, Andrea Warniment","Scott D. White, Andrea Warniment","","11624","","7/7/2006","7/7/2006","Jul 7 2006","Los Angeles","1006 - 1037 m","   Gorman area, west of the I-5 Freeway at SR-138 interchange. SE Tehachapi Mts.","Gorman area, west of the I-5 Freeway at SR-138 interchange. Southeast of Tehachapi Mountains","yes",-118.8,34.76666667,"","","08N18W21",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.167416774,NA,NA,NA,NA,"no",NA,NA,109782.017546362,-360397.784675704,6.7,11.8,22.3,15.2,1,31,172,91,7,56,14,24,6.2,17.7,325,28,73.8,870.5,3373,45,305,93,318,226,4,-16.4,42.4,1286,1001,18.7,57,2006,301.7,1186.8,160.333333333333,1488.7,345.4,22.1083333333333,8.2,214.25,0,30.9,2.10000000000001,2.23,0.925,1.60166666666667
"244",4660,"SEINET2066419","","","","Quercus douglasii","C. Francis Shutts","C. Francis Shutts","","219","","11/7/1949","11/7/1949","11/7/1949","Los Angeles","3700 ft","   One mile S of Lebec","1 mile South of Lebec","yes",-118.870778,34.830611,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.188938238,NA,NA,NA,NA,"no",NA,NA,103222.661512738,-353379.294221747,5.9,11.3,21.5,14.6,0,31.6,161,95,5,59,13.3,23,5.6,17.4,320,25,72.9,916.9,3161,56,286,111,308,197,5,-18.2,43.1,1341,1054,20.5,53,1949,300.3,1139.2,154.5,1439.3,343.6,22.5833333333333,8,213.716666666667,0,29.8,1.5,2.1,0.84,1.48833333333333
"247",4761,"UCR223855","","","","Quercus douglasii","George K. Helmkamp, E. A. Helmkamp","George K. Helmkamp, E. A. Helmkamp","","15680","","10/11/2009","10/11/2009","Oct 11 2009","Amador","192 m","  Sacramento Valley/Sierra Nevada Foothills Willow Creek Road just south of its junction with CA-16, 3.3 mi. SW (235&deg;) of Plymouth","Sacramento Valley/Sierra Nevada Foothills Willow Creek Road just south of its junction with CA-16, 3.3 miles Southwest of (235â€šÂ°) of Plymouth","yes",-120.89833,38.44917,"","Collector GPS","",100,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.064474736,NA,NA,NA,NA,"no",NA,NA,-78307.4552871869,48483.4739065715,7.9,14.1,23.5,16.8,2.8,33.5,296,174,8,151,15.6,24.9,6.8,18.1,629,36,40.7,690.9,3917,31,332,63,334,271,4,-13.1,43.5,1323,959,17,56,2009,601.8,816,122.483333333333,1417.7,700.2,176.875,60.3,199.408333333333,0,35.2,2.90000000000001,2.45,1.095,1.80333333333333
"248",4771,"DS90260","","","","Quercus douglasii","Ernest Braunton","Ernest Braunton","","1160","","7/1/1904","7/31/1904","4-Jul","Amador","","   Ione, 4 miles S","4 miles south of Ione","yes",-120.9344,38.2908,"WGS84","GoogleMaps via BerkeleyMapper","",2.879,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.02648882,NA,NA,NA,NA,"no",NA,NA,-81625.0828349095,30909.8869466842,8.2,14.7,23.9,17.2,3.3,33.8,247,148,10,128,16,25.2,7,18.1,534,32,48.7,776.1,4056,29,338,53,338,285,3,-12.2,43.7,1332,987,16.9,57,1904,526.5,891.2,133.166666666667,1417.7,592.8,140.8,48.5,199.591666666667,0,34.9,3.5,2.38,1.13,1.77666666666667
"249",4774,"UCD45719","","","","Quercus douglasii","D. Q. Cavagnaro","D. Q. Cavagnaro","","22","","9/11/1963","9/11/1963","09 11 1963","Amador","1000 ft.","   State Highway 49, 6.3 miles north of Plymouth, Amador County, California. Elevation 1000 feet","State Highway 49, 6.3 miles north of Plymouth, Amador County, California. Elevation 1000 feet","yes",-120.8405972,38.57434444,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.054840064,NA,NA,NA,NA,"no",NA,NA,-73151.6547364592,62351.1530155223,7.5,13.4,23.3,16.4,2.2,33.2,370,210,12,184,15.1,24.8,6.5,18.3,775,47,32.4,530,3767,35,324,75,329,254,6,-14.3,43,1304,912,16.3,56,1963,660.2,739.2,111.583333333333,1399.7,814.2,202.166666666667,67.6,199.608333333333,0,34.5,2.2,2.36,1.04,1.73833333333333
"250",4777,"CATA1763","","","","Quercus douglasii","Benjamin E. Carter","Benjamin E. Carter","","6892","","7/19/2012","7/19/2012","19-Jul-12","Los Angeles","277 m","   Santa Catalina Island: Bulrush Canyon, about 1/4 mile below the lower reservoir","Santa Catalina Island: Bulrush Canyon, ca. 0.25 mile below the lower reservoir","yes",-118.428,33.342,"","DMS conversion","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.743476474,NA,NA,NA,NA,"no",NA,NA,146431.89030072,-517911.890633771,13.1,14.4,19.6,17.9,8.9,24.1,157,73,4,55,16.3,21.1,12.7,8.4,288,18,91.1,1195.5,4123,8,365,0,365,365,0,1.2,39.1,1033,761,15.5,73,2012,286,917.4,112.016666666667,1203.5,316.3,28.9,13.2,203.241666666667,0,23.8,9.40000000000001,0.83,0.53,0.67
"251",4778,"CATA1762","","","","Quercus douglasii","E. R. Blakley","E. R. Blakley","","5475","","10/6/1962","10/6/1962","6-Oct-62","Los Angeles","243 m","   Santa Catalina Island: 0.25 mile below the lower reservoir in Bulrush Canyon","Santa Catalina Island: 0.25 mile below the lower reservoir in Bulrush Canyon","yes",-118.4257,33.3417,"WGS84","Google Earth","",500,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.743476474,NA,NA,NA,NA,"no",NA,NA,146646.667857202,-517941.581641917,13,14.4,19.7,17.9,8.9,24.1,157,73,4,55,16.3,21.1,12.7,8.4,289,18,90.9,1192.5,4120,8,365,0,365,365,0,1.2,39.2,1034,762,15.5,73,1962,286,917.4,112.016666666667,1203.5,316.3,28.9,13.2,203.241666666667,0,23.8,9.40000000000001,0.83,0.53,0.67
"252",4779,"CATA1761","","","","Quercus douglasii","E. R. Blakley","E. R. Blakley","","5473","","10/6/1962","10/6/1962","6-Oct-62","Los Angeles","350 m","   Santa Catalina Island: Bulrush Canyon","Santa Catalina Island: Bulrush Canyon","yes",-118.4113,33.3338,"WGS84","Google Earth","",1,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,NA,NA,NA,NA,NA,"no",NA,NA,148002.58013736,-518794.676457122,13,14.3,19.6,17.8,8.7,24,158,72,4,55,16.2,21,12.6,8.4,289,18,90.4,1198,4087,9,365,0,365,365,0,0.9,39.1,1034,759,15.4,73,1962,303.3,950.5,116.933333333333,1253.6,337.1,30.4166666666667,13.4,203.9,0,24.5,9.30000000000001,0.97,0.575,0.768333333333333
"253",4780,"CATA1760","","","","Quercus douglasii","E. R. Blakley","E. R. Blakley","","5472","","10/6/1962","10/6/1962","6-Oct-62","Los Angeles","358 m","   Santa Catalina Island: Head of Bulrush Canyon","Santa Catalina Island: Head of Bulrush Canyon","yes",-118.409,33.3318,"WGS84","Google Earth","",800,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,NA,NA,NA,NA,NA,"no",NA,NA,148220.546681425,-519012.719906529,13,14.3,19.5,17.8,8.7,24,158,72,4,54,16.1,21,12.6,8.3,289,17,90.4,1201.6,4082,9,365,0,365,365,0,0.8,39,1033,759,15.4,73,1962,264.6,938.1,113.1,1202.7,287.5,25.125,12.2,201.616666666667,0,24,9.7,0.8,0.55,0.655
"254",4786,"CATA1759","","","","Quercus douglasii","E. R. Blakley","E. R. Blakley","","5465","","10/5/1962","10/5/1962","5-Oct-62","Los Angeles","228 m","   Santa Catalina Island: Middle Ranch Canyon between mouth of Cape Canyon and its head","Middle Ranch Canyon between mouth of Cape Canyon and its head, Santa Catalina Island","yes",-118.4013,33.3485,"WGS84","Google Earth","",3,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.751348151,NA,NA,NA,NA,"no",NA,NA,148906.615435396,-517149.973116913,13,14.3,19.9,18,9,24.7,160,75,4,56,16.3,21.4,12.7,8.7,295,18,89.1,1157.2,4133,9,365,0,365,365,0,1.6,39.8,1052,776,15.6,73,1962,303.3,950.5,116.933333333333,1253.6,337.1,30.4166666666667,13.4,203.9,0,24.5,9.30000000000001,0.97,0.575,0.768333333333333
"255",4833,"RSA567274","","","","Quercus douglasii","T. S. Ross, S. D. Boyd, Orlando Mistretta, Peter Fritsch, Alex quici","T. S. Ross, S. D. Boyd, Orlando Mistretta, Peter Fritsch, Alex quici","","3944","","6/28/1990","6/28/1990","Jun 28 1990","Los Angeles","1098 m","   About 340 m NNW of the old Tumble Inn site along stretch of road between the old Ridge Route and Liebre Gulch.","About 340 meters North of northwest of the old Tumble Inn site along stretch of road between the old Ridge Route and Liebre Gulch.","yes",-118.7235,34.7105,"WGS84","Google Earth (copied from UC1871035)","07N17W07",300,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.196287763,NA,NA,NA,NA,"no",NA,NA,116864.153460818,-366540.60308887,7.2,11.8,22.2,15.6,2,30.1,191,93,7,57,14.2,23.8,6.7,17.1,349,29,69.3,821.8,3430,39,319,80,327,248,3,-14.2,42,1233,946,18.8,60,1990,291,1173.3,156.966666666667,1464.3,330.7,20.4833333333333,7.7,215.358333333333,0,29.9,2.40000000000001,2.11,0.86,1.49833333333333
"256",4904,"UCSB34832","","","","Quercus douglasii","Robert Lloyd","Robert Lloyd","","94","","3/24/1959","3/24/1959","3/24/1959","Los Angeles","822 m","   At Oak Flats Fire Station, 10 mi. north of Castaic, Calif, on U.S. Hwy. 99, Tehachapi Mts.","At Oak Flats Fire Station, 10 miles north of Castaic, California, on U.S. Highway 99, Tehachapi Mountains","yes",-118.7221,34.5984,"WGS84","Google Earth (copied from UCSB9356)","",300,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.147309089,NA,NA,NA,NA,"no",NA,NA,117160.023375138,-378980.456131156,8.8,13.3,23.1,17.4,3.8,30.9,238,114,8,75,15.6,24.8,8.4,16.5,435,30,58.9,832,3930,25,340,52,343,291,2,-10.3,44.5,1280,949,18.2,61,1959,334.8,1171.5,157.866666666667,1506.3,397,24.8416666666667,9.1,214.308333333333,0,31.5,3.40000000000001,2.2,0.96,1.605
"257",4942,"CDA13202","","","","Quercus douglasii","G. F. Hrusa, J. Hart","G. F. Hrusa, J. Hart","","12927","","5/9/1996","5/9/1996","May 9 1996","Amador","85 m","  Cosumnes River Drainage Howard Ranch. Hills S of Twin Cities Rd. (Hwy. 104).","Cosumnes River Drainage Howard Ranch. Hills South of Twin Cities Road (Hwy. 104).","yes",-121,38.37833333,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.08535119,NA,NA,NA,NA,"no",NA,NA,-87252.7741841085,40698.2984710005,8.2,14.6,23.6,17,3.4,33.3,253,147,9,131,15.9,24.9,7.1,17.9,540,31,47.9,809.9,4008,29,339,52,339,286,3,-12,43.1,1311,967,16.8,57,1996,519.9,904.4,134.983333333333,1424.3,568.4,145.983333333333,52.8,198.7,0,35.5,3.5,2.49,1.145,1.83833333333333
